候选数: 60
keys: ['gs_id', 'year', 'question_no', 'type', 'subject', 'stem', 'options', 'answer', 'explanation', 'source_file', 'score', 'matched_keywords', 'kaoyan_origin']
GS-2023-041 2023 A型 | ['中暑', '意识障碍', '昏迷', '脑出血'] | 下列疾病中, 最可能先出现意识障碍后发热的是
GS-1996-082 1996 A型 | ['ARDS', '急性呼吸窘迫', '呼吸困难', '急性心力衰竭'] | 女,54岁,急性胰腺炎行胆囊造瘘、胰腺引流术后,行禁食、胃肠减压、输液及抗感染治
GS-1996-086 1996 A型 | ['创伤', '呼吸困难', '昏迷', '甲状腺危象'] | 甲状腺大部切除术后,呼吸困难和窒息的并发症与下列哪项因素无关?
GS-2022-073 2022 A型 | ['ARDS', '急性呼吸窘迫', '呼吸困难'] | 该患者最可能的诊断是
GS-2022-097 2022 A型 | ['呼吸困难', '昏迷', '甲状腺危象'] | 目前最可能出现的情况是
GS-2020-063 2020 A型 | ['创伤', '气胸', '血胸'] | 下列胸部创伤性疾病中,一般采用非手术治疗的是
GS-2019-052 2019 A型 | ['意识障碍', '上消化道出血', '糖尿病酮症酸中毒'] | 男性,65岁。呕血、黑便3天,半天来出现躁动不安和意识模糊入院。既往有肝炎病史1
GS-2019-055 2019 A型 | ['休克', '糖尿病酮症酸中毒', '甲状腺危象'] | 男性,20岁,近半年来乏力日渐明显,体重下降约15公斤,食欲尚可,尿量多。2天前
GS-2015-068 2015 A型 | ['急性中毒', '昏迷', '抽搐'] | 女性,20岁。误服有机磷农药后半小时家人送来急诊。查体:神志不清,皮肤潮湿多汗,
GS-2014-045 2014 A型 | ['呼吸困难', '昏迷', '抽搐'] | 女性,73岁。下楼梯时,不慎摔倒,股骨骨折。行手术内固定术时,突然呼吸困难,紫绀
GS-2014-084 2014 A型 | ['创伤', 'ARDS', '呼吸困难'] | 下列胸部损伤中须考虑手术探查的是
GS-2012-067 2012 A型 | ['有机磷中毒', '昏迷', '抽搐'] | 急性有机磷中毒的下列临床表现中,能提示中度中毒的是
GS-2011-045 2011 A型 | ['呼吸困难', '昏迷', '抽搐'] | 女,23岁,足月初产,无妊娠并发症。在阴道分娩过程中,突然呼吸困难,发绀,血压下
GS-2010-099 2010 A型 | ['ARDS', '急性呼吸窘迫', '呼吸困难'] | 该患者出现呼吸困难最可能的原因是
GS-2010-113 2010 A型 | ['颅脑损伤', '气胸', '呼吸困难'] | 此时最紧迫的急救措施是
GS-2009-176 2009 X型 | ['ARDS', '急性呼吸窘迫', '呼吸困难'] | ARDS 的特征性表现有
GS-2007-087 2007 A型 | ['休克', '感染性休克', '过敏性休克'] | 下列选项中,对休克的微循环变化和内脏继发性损害较严重的是
GS-2007-125 2007 B型 | ['气胸', '呼吸困难', '意识障碍'] | 张力性气胸常见的呼吸状态表现是
GS-2007-143 2007 X型 | ['有机磷中毒', '昏迷', '抽搐'] | 治疗急性有机磷中毒时,出现“阿托品化”的表现有
GS-2006-065 2006 A型 | ['ARDS', '急性呼吸窘迫', '呼吸困难'] | 男性,34岁,2天前着凉后发热,体温 $38.9^{\circ} \mathrm
GS-2006-085 2006 A型 | ['呼吸困难', '昏迷', '甲状腺危象'] | 一个患有结节性甲状腺肿的病人在硬膜外麻醉下行双侧甲状腺大部切除术,术后当天出现呼
GS-2003-076 2003 A型 | ['休克', '感染性休克', '创伤'] | 下列关于休克的叙述,哪项是正确的?
GS-1999-082 1999 A型 | ['ARDS', '急性呼吸窘迫', '呼吸困难'] | 下列哪项不是 ARDS 初期的临床表现?
GS-1998-049 1998 A型 | ['心肺复苏', '心肺脑复苏', '心律失常'] | 关于急性心肌梗死溶栓治疗,下列哪项不正确?
GS-2024-042 2024 A型 | ['昏迷', '脑出血'] | 男性,82岁。因脑出血4小时经开颅减压手术后意识不清,对声、光刺激无反应,角膜反
GS-2024-046 2024 A型 | ['休克', '呼吸困难'] | 男性,78岁。6小时前在睡眠中突发胸痛,有明显压迫感,自含硝酸甘油2片,症状稍有
GS-2024-062 2024 A型 | ['气胸', '血胸'] | 张力性气胸时,首选的急救措施是
GS-2023-061 2023 A型 | ['血胸', '呼吸困难'] | 男性,23岁。因胸部钝挫伤2小时来诊。自诉呼吸困难。听诊右侧肺呼吸音消失,胸片提
GS-2023-064 2023 A型 | ['创伤', '脑出血'] | 男性,90岁。右上腹痛5天就诊。既往有心肌梗死、脑出血病史。查体:T38℃,右上
GS-2023-154 2023 X型 | ['气胸', '呼吸困难'] | 男性,76岁。慢性咳嗽、咳痰30余年,活动后气短5年,加重伴发热3天入院。入院后
GS-2021-047 2021 A型 | ['休克', '呼吸困难'] | 一般不会在急性心肌炎病人出现的临床表现是
GS-2021-079 2021 A型 | ['意识障碍', '糖尿病酮症酸中毒'] | 最可能的诊断是
GS-2020-047 2020 A型 | ['休克', '心律失常'] | 男性,60岁。突发左胸持续压榨性疼痛伴大汗3小时,自含速效救心丸无效,急送来院。
GS-2019-061 2019 A型 | ['气胸', '血胸'] | 可能发生纵隔扑动的胸部损伤的是
GS-2019-130 2019 B型 | ['有机磷中毒', '昏迷'] | 引起瞳孔明显缩小的中毒是
GS-2019-154 2019 X型 | ['ARDS', '急性呼吸窘迫'] | 急性呼吸窘迫综合征机械通气治疗的原则有
GS-2018-047 2018 A型 | ['急性心力衰竭', '心律失常'] | 男性,62岁。1周前患广泛前壁心肌梗死、左心功能不全,未接受冠脉介入治疗。4小时
GS-2018-052 2018 A型 | ['意识障碍', '上消化道出血'] | 男性,51岁。肝硬化病史4年,发生呕血、黑便2天,半天来出现意识模糊和躁动入院。
GS-2018-070 2018 A型 | ['气胸', '呼吸困难'] | 患者应考虑的主要疾病是
GS-2018-112 2018 A型 | ['昏迷', '脑梗死'] | 男性,78岁。因脑梗死昏迷被家人送医院救治,治疗多日仍意识不清,家属要求放弃治疗
GS-2018-130 2018 B型 | ['有机磷中毒', '糖尿病酮症酸中毒'] | 有机磷中毒时,患者的呼吸气味常是
GS-2018-163 2018 X型 | ['休克', '昏迷'] | 真菌败血症的临床表现有
GS-2016-050 2016 A型 | ['ARDS', '急性呼吸窘迫'] | ARDS 最典型的病变是
GS-2016-108 2016 A型 | ['休克', '糖尿病酮症酸中毒'] | 该患者应首先考虑的诊断是
GS-2015-099 2015 A型 | ['意识障碍', '昏迷'] | 该患者最可能的诊断是
GS-2015-108 2015 A型 | ['休克', '糖尿病酮症酸中毒'] | 该患者最可能的诊断是
GS-2015-116 2015 A型 | ['呼吸困难', '抽搐'] | 为明确诊断,首选的检查是
GS-2014-063 2014 A型 | ['ARDS', '急性呼吸窘迫'] | 下列选项中, 符合 ARDS 诊断标准的是
GS-2014-096 2014 A型 | ['呼吸困难', '心律失常'] | 该患者最可能的诊断为
GS-2014-099 2014 A型 | ['休克', '上消化道出血'] | 该患者最可能的诊断是
GS-2013-064 2013 A型 | ['气胸', '呼吸困难'] | 男性,68岁。3年前诊断为COPD,未规律治疗。2小时前无明显诱因突感左胸剧痛,
GS-2013-079 2013 A型 | ['气胸', '血胸'] | 下列急性胸部损伤中, 对生命威胁最大的是
